id,timestamp,source,source_file,line_number,severity,status,phase,message,notes,raw_event_count,dedup_key
3bf9ff2ed822a682,2026-06-14 09:50:00.000,alert,alerts.csv,10,WARNING,待确认,故障中,Database query latency spike,,1,c7c86f419d824877
fb43444793a701d2,2026-06-14 09:50:00.000,note,notes.json,5,WARNING,待确认,故障中,SRE 介入，开始准备回滚预案,,1,82f378dee6944a09
97120286b8b8654a,2026-06-14 09:55:00.000,alert,alerts.csv,11,ERROR,待确认,故障中,Pending orders queue size > 10,,1,5c24acaa95f8e726
2f6719a79f425a69,2026-06-14 09:55:30.000,log,app.log,14,INFO,待确认,故障中,SRE team notified via PagerDuty,,1,52f10ae22d5ec6cf
7421510accabe2ab,2026-06-14 10:00:00.000,note,notes.json,6,INFO,待确认,故障中,与第三方支付确认：他们新版本发布了有问题的变更，正在回滚,,1,dc41274a7f7fefd9
7988fd1d316ec05b,2026-06-14 10:05:00.000,log,app.log,15,INFO,待确认,故障中,Rolling back payment service to version 2.3.0,,1,02c8896305deff06
724b1e910cb1dde9,2026-06-14 10:05:00.000,alert,alerts.csv,12,INFO,待确认,故障中,Deployment started: payment-service v2.3.0,,1,78be123cd210fc4a
9cdcaa3e282afcfa,2026-06-14 10:05:00.000,note,notes.json,7,INFO,待确认,故障中,决定回滚我方支付服务到 v2.3.0 作为预防措施,,1,78906d42b57bc38d
64b224baa3c56826,2026-06-14 10:08:00.000,alert,alerts.csv,13,INFO,待确认,故障中,Health check passing for payment-service v2.3.0,,1,090750cd32122012
88fa2abf66a0a771,2026-06-14 10:08:45.000,log,app.log,16,INFO,待确认,故障中,Payment service v2.3.0 deployment started,,1,43deeabb03593a48
2206e40cc74f2977,2026-06-14 10:12:30.000,log,app.log,17,INFO,待确认,故障中,Payment service v2.3.0 is now healthy,,1,63799986f69b775a
ab9cf98a3668e3f3,2026-06-14 10:12:30.000,alert,alerts.csv,14,INFO,待确认,故障中,Circuit breaker CLOSED for payment-service,,2,b231087fc6543597
4a85dc8d421508c7,2026-06-14 10:15:00.000,log,app.log,19,INFO,待确认,故障中,"Payment processing restored, retrying pending orders",,1,1f3d471645b29742
fdb5602cafeabd2a,2026-06-14 10:15:00.000,alert,alerts.csv,15,WARNING,待确认,故障中,Pending orders queue size back to normal,,1,29fbdcc1dff1c6ca
30c9c4ee92ae7cb2,2026-06-14 10:15:00.000,note,notes.json,8,INFO,待确认,故障中,系统恢复正常，订单队列开始消费,,1,52b39e94cc033dad
9dc06bc0b694d758,2026-06-14 10:20:00.000,alert,alerts.csv,16,WARNING,待确认,故障后,System recovery verified by SRE,,1,85aa40d660f4c741
c7a3678347b4a996,2026-06-14 10:20:45.000,log,app.log,20,INFO,待确认,故障后,All pending orders processed successfully,,1,03e8eea4a78ab2dd
7f49bfccfd745d92,2026-06-14 10:25:00.000,log,app.log,21,INFO,待确认,故障后,System metrics back to normal levels,,1,f6b4aeced217b113
45155a5e63d5ef7d,2026-06-14 10:25:00.000,alert,alerts.csv,18,INFO,待确认,故障后,All metrics within normal range,,1,41562313aaf3044f
346d707cd3832338,2026-06-14 10:30:00.000,log,app.log,23,INFO,待确认,故障后,Post-incident cleanup completed,,1,51ffce41d89f2836
3a11151707ff0f12,2026-06-14 10:30:00.000,note,notes.json,9,INFO,待确认,故障后,故障复盘会议预定明天上午10点,,1,9a708ad98116de37
ed8c9165518fbe9d,2026-06-14 10:35:00.000,log,app.log,25,INFO,待确认,故障后,Final verification check passed,,1,7f70571bb311ecd0
65858bb281ec72b8,2026-06-15 00:39:00.408,note,notes.json,10,INFO,待确认,,这条备注没有时间戳，应该使用当前时间,,1,485191fa96d55e53
d1ec636e992f0fbd,2026-06-15 00:39:00.408,note,notes.json,11,CRITICAL,待确认,,根因确认：第三方支付新版本接口协议变更未同步,,1,2a28b118f7386a2d
2bff2577f58e8d78,2026-06-15 00:44:58.838,note,notes.json,10,INFO,待确认,,这条备注没有时间戳，应该使用当前时间,,1,485191fa96d55e53
5212c710b1a5be69,2026-06-15 00:44:58.838,note,notes.json,11,CRITICAL,待确认,,根因确认：第三方支付新版本接口协议变更未同步,,1,2a28b118f7386a2d
